     0.571 D | [launcher.task.net.download]: "{d29fdef4-b662-4a96-9969-50682b8132a7}" Download succeeded: "https://i18n.prismlauncher.org/index_v2.json"
     0.571 D | [launcher.task]: Task "NetJob(Translations Index ID: cd2492ed-4573-475c-9120-7649cace526b)" succeeded
     0.571 D | Got translations index!
     0.572 D | [launcher.task]: Task "NetJob(Translation for uk ID: 51189801-c0d9-41fe-aa98-365797aca0d4)" starting for the first time
     0.572 D | [launcher.task]: Task "Net::Download(CACHE:https://i18n.prismlauncher.org/2bb24315a983dcf7de088c5b83178f2bbef0cc1f.class ID: ad439617-08e8-4a4e-a9a7-36c555ff716b)" starting for the first time
     0.572 D | [launcher.task.net.download]: "{ad439617-08e8-4a4e-a9a7-36c555ff716b}" Downloading  "https://i18n.prismlauncher.org/2bb24315a983dcf7de088c5b83178f2bbef0cc1f.class"
     0.573 D | Dir changed: "/home/orest/.local/share/PollyMC/translations"
     0.578 D | Loading Application Language File for uk ...
     0.629 D | [launcher.task.net.metacache]: Parsing 'Cache-Control' header with "max-age=600"
     0.629 D | [launcher.task.net.metacache]: Parsing 'Age' header with "170"
     0.629 D | [launcher.task.net.download]: "{ad439617-08e8-4a4e-a9a7-36c555ff716b}" Download succeeded: "https://i18n.prismlauncher.org/2bb24315a983dcf7de088c5b83178f2bbef0cc1f.class"
     0.629 D | [launcher.task]: Task "NetJob(Translation for uk ID: 51189801-c0d9-41fe-aa98-365797aca0d4)" succeeded
     0.629 D | Got translation: "uk"
     0.630 D | Loading Application Language File for uk ...
     6.214 D | [Theme] <> Icon theme set.
     6.214 D | [Theme] applying theme "Catppuccin Mocha"
     6.362 D | [Theme] <> Application theme set.
     9.158 D | Paged dialog close requested
     9.159 D | Sorting icon list...
     9.160 D | Detecting proxy settings...
     9.160 D | Using no proxy is an option!
     9.160 D | Paged dialog close approved
     9.160 D | Paged dialog geometry saved
     9.183 D | Discovering instances in "/home/orest/.local/share/PollyMC/instances"
    18.013 D | [Theme] <> Icon theme set.
    18.014 D | [Theme] applying theme "Catppuccin Mocha"
    18.209 D | [Theme] <> Application theme set.
    20.253 D | [Theme] <> Icon theme set.
    20.253 D | [Theme] applying theme "Catppuccin Mocha"
    20.449 D | [Theme] <> Application theme set.
    22.945 D | [Theme] <> Icon theme set.
    22.945 D | [Theme] applying theme "Catppuccin Mocha"
    23.095 D | [Theme] <> Application theme set.
    25.637 D | [Theme] <> Icon theme set.
    25.637 D | [Theme] applying theme "Catppuccin Mocha"
    25.788 D | [Theme] <> Application theme set.
    28.869 D | Paged dialog close requested
    28.869 D | Sorting icon list...
    28.869 D | Detecting proxy settings...
    28.869 D | Using no proxy is an option!
    28.870 D | Paged dialog close approved
    28.870 D | Paged dialog geometry saved
    28.888 D | Discovering instances in "/home/orest/.local/share/PollyMC/instances"
    30.207 D | [launcher.task.net.metacache.http]: Saving metacache with 21 entries
   287.676 D | Adding  "icons/b6d62169-667f-480c-af4d-6a302324fc36"
   287.680 D | Sorting icon list...
   287.713 D | Checking  "icons/b6d62169-667f-480c-af4d-6a302324fc36"
   287.715 D | Checking  "icons/b6d62169-667f-480c-af4d-6a302324fc36"
   293.417 D | Removing  "icons/b6d62169-667f-480c-af4d-6a302324fc36"
   293.418 D | Sorting icon list...
   319.352 D | Adding  "icons/release.zip"
   319.352 D | Sorting icon list...
   319.385 D | Sorting icon list...
   319.385 D | Checking  "icons/release.zip"
   319.414 D | Sorting icon list...
   327.479 D | Sorting icon list...
   327.481 D | Sorting icon list...
   333.942 D | Removing  "icons/release.zip"
   333.942 D | Sorting icon list...
   353.747 D | Sorting icon list...
   359.922 D | Sorting icon list...
